county,state,ssacounty,fipscounty,cbsa,cbsaname,CONUM,FrlBetween_26__and_50__FRPL,FrlBetween_51__and_75__FRPL,FrlGreater_than_75__FRPL,FrlBetween_10__and_25__FRPL,FrlLess_than_10__FRPL,BlackBetween_26__and_50__FRPL,BlackBetween_51__and_75__FRPL,BlackGreater_than_75__FRPL,BlackBetween_10__and_25__FRPL,BlackLess_than_10__FRPL,WhiteBetween_26__and_50__FRPL,WhiteBetween_51__and_75__FRPL,WhiteGreater_than_75__FRPL,WhiteBetween_10__and_25__FRPL,WhiteLess_than_10__FRPL,NonFrlBetween_26__and_50__FRPL,NonFrlBetween_51__and_75__FRPL,NonFrlGreater_than_75__FRPL,NonFrlBetween_10__and_25__FRPL,NonFrlLess_than_10__FRPL,FIPST,MEMBER,TOTFRL,TotalEnroll,TotalPoor,TotalBlack,TotalWhite,TotalNonPoor,PercentPoor_NCES,PercentPoor_RJ,diff,StateMerge,PctPoorinPoorSchools,PctNonPoorinPoorSchools,PctBlackinPoorSchools,PctWhiteinPoorSchools
CHILTON,AL,01100,01021,13820,"Birmingham-Hoover, AL",01021,,4546,448,,,,899,66,,,,5332,447,,,,2541,128,,,01,7663,4994,7663,4994,965,5779,2669,0.651702988,0.651702988,0,01,0.089707649,0.047958037,0.068393782,0.077349022
CHOCTAW,AL,01110,01023,,,01023,,,1417,,,,,1142,,,,,560,,,,,304,,,01,1721,1417,1721,1417,1142,560,304,0.823358512,0.823358512,0,01,1,1,1,1
CLARKE,AL,01120,01025,,,01025,,2056,1292,,,,1698,1041,,,,1310,575,,,,1017,350,,,01,4715,3348,4715,3348,2739,1885,1367,0.710074231,0.710074231,0,01,0.385902031,0.256035113,0.380065717,0.305039788
CLAY,AL,01130,01027,,,01027,,1323,,,,,400,,,,,1530,,,,,735,,,,01,2058,1323,2058,1323,400,1530,735,0.642857143,0.642857143,0,01,0,0,0,0
CLEBURNE,AL,01140,01029,,,01029,,1618,,,,,132,,,,,2438,,,,,1047,,,,01,2665,1618,2665,1618,132,2438,1047,0.607129456,0.607129456,0,01,0,0,0,0
COFFEE,AL,01150,01031,,,01031,1392,2511,300,148,,764,747,155,112,,2415,3045,185,420,,2202,1791,82,442,,01,8868,4351,8868,4351,1778,6065,4517,0.490640505,0.490640505,0,01,0.068949667,0.018153642,0.087176603,0.030502885
COLBERT,AL,01160,01033,22520,"Florence-Muscle Shoals, AL",01033,968,2939,402,46,,568,870,195,28,,2350,3378,249,168,,2102,1518,73,168,,01,8216,4355,8216,4355,1661,6145,3861,0.530063291,0.530063291,0,01,0.092307692,0.018907019,0.117399157,0.040520749
CONECUH,AL,01170,01035,,,01035,,,1418,,,,,1351,,,,,271,,,,,226,,,01,1644,1418,1644,1418,1351,271,226,0.862530414,0.862530414,0,01,1,1,1,1
COOSA,AL,01180,01037,,,01037,,233,319,,,,167,182,,,,192,212,,,,132,98,,,01,782,552,782,552,349,404,230,0.705882353,0.705882353,0,01,0.577898551,0.426086957,0.521489971,0.524752475
COVINGTON,AL,01190,01039,,,01039,620,2555,373,,,289,793,46,,,973,3548,434,,,675,1898,113,,,01,6234,3548,6234,3548,1128,4955,2686,0.569136991,0.569136991,0,01,0.105129651,0.042069993,0.040780142,0.087588295
CRENSHAW,AL,01200,01041,,,01041,,1421,,,,,742,,,,,1408,,,,,819,,,,01,2240,1421,2240,1421,742,1408,819,0.634375,0.634375,0,01,0,0,0,0
CULLMAN,AL,01210,01043,,,01043,1276,4555,396,187,,17,84,38,10,,2866,6842,392,815,,1889,2899,117,700,,01,12141,6492,12019,6414,149,10915,5605,0.534717074,0.533655046,0.10620282,01,0.061739944,0.020874219,0.255033557,0.03591388
DALE,AL,01220,01045,,,01045,374,2192,1100,,,51,1260,420,,,807,2247,864,,,507,1541,312,,,01,6026,3666,6026,3666,1731,3918,2360,0.608363757,0.608363757,0,01,0.300054555,0.13220339,0.242634315,0.220520674
DALLAS,AL,01230,01047,,,01047,,491,6038,,,,395,6391,,,,276,639,,,,198,1036,,,01,7763,6529,7763,6529,6786,915,1234,0.841040835,0.841040835,0,01,0.924797059,0.839546191,0.941791925,0.698360656
DE KALB,AL,01240,01049,,,01049,,5343,2849,,,,133,61,,,,5933,1346,,,,3118,485,,,01,11795,8192,11795,8192,194,7279,3603,0.694531581,0.694531581,0,01,0.34777832,0.134610047,0.31443299,0.18491551
ELMORE,AL,01250,01051,33860,"Montgomery, AL",01051,1790,5126,,,,1039,2339,,,,2870,6184,,,,2324,3956,,,,01,13196,6916,13196,6916,3378,9054,6280,0.524098212,0.524098212,0,01,0,0,0,0
ESCAMBIA,AL,01260,01053,,,01053,396,1273,2417,,,278,450,1608,,,642,1394,1017,,,552,775,352,,,01,5765,4086,5765,4086,2336,3053,1679,0.708759757,0.708759757,0,01,0.591532061,0.2096486,0.688356164,0.333114969
ETOWAH,AL,01270,01055,23460,"Gadsden, AL",01055,1216,5439,3189,99,,66,1564,1448,73,,3110,6628,1815,319,,2054,3302,574,322,,01,16405,9954,16195,9943,3151,11872,6252,0.60676623,0.613954924,-0.718869455,01,0.32072815,0.091810621,0.459536655,0.152880728
FAYETTE,AL,01280,01057,,,01057,194,1125,,,,110,252,,,,310,1715,,,,230,879,,,,01,2428,1319,2428,1319,362,2025,1109,0.54324547,0.54324547,0,01,0,0,0,0
FRANKLIN,AL,01290,01059,,,01059,,3306,522,,,,190,1,,,,3780,472,,,,1749,141,,,01,5718,3828,5718,3828,191,4252,1890,0.669464848,0.669464848,0,01,0.136363636,0.074603175,0.005235602,0.111006585
GENEVA,AL,01300,01061,20020,"Dothan, AL",01061,,2302,269,,,,505,42,,,,2935,261,,,,1364,84,,,01,4019,2571,4019,2571,547,3196,1448,0.639711371,0.639711371,0,01,0.104628549,0.05801105,0.07678245,0.081664581
GREENE,AL,01310,01063,46220,"Tuscaloosa, AL",01063,,,1130,,,,,1236,,,,,2,,,,,119,,,01,1249,1130,1249,1130,1236,2,119,0.904723779,0.904723779,0,01,1,1,1,1
HALE,AL,01320,01065,46220,"Tuscaloosa, AL",01065,256,391,1560,,,167,217,1634,,,342,400,46,,,265,243,142,,,01,2857,2207,2857,2207,2018,788,650,0.772488624,0.772488624,0,01,0.706841867,0.218461538,0.809712587,0.058375635
HENRY,AL,01330,01067,20020,"Dothan, AL",01067,826,,793,,,351,,575,,,1284,,305,,,900,,150,,,01,2669,1619,2669,1619,926,1589,1050,0.60659423,0.60659423,0,01,0.489808524,0.142857143,0.620950324,0.191944619
HOUSTON,AL,01340,01069,20020,"Dothan, AL",01069,1458,4792,3668,,,630,2441,2967,,,2810,4876,1042,,,2204,3002,555,,,01,15679,9918,15679,9918,6038,8728,5761,0.632565852,0.632565852,0,01,0.369832628,0.096337441,0.491387877,0.119385885
JACKSON,AL,01350,01071,,,01071,330,4328,505,,,58,279,19,,,683,5994,535,,,453,2669,102,,,01,8387,5163,8387,5163,356,7212,3224,0.615595565,0.615595565,0,01,0.09781135,0.031637717,0.053370787,0.074181919
JEFFERSON,AL,01360,01073,13820,"Birmingham-Hoover, AL",01073,8807,10935,32241,2134,440,6525,9033,33189,2069,412,14668,6643,870,9307,8851,14213,6631,3704,10554,9355,01,99889,55104,99014,54557,51228,40339,44457,0.551652334,0.551002888,0.064944561,01,0.590959913,0.083316463,0.647868353,0.021567218
LAMAR,AL,01370,01075,,,01075,,1430,,,,,334,,,,,1987,,,,,950,,,,01,2380,1430,2380,1430,334,1987,950,0.600840336,0.600840336,0,01,0,0,0,0
LAUDERDALE,AL,01380,01077,22520,"Florence-Muscle Shoals, AL",01077,2903,2884,852,25,,555,710,468,25,,6303,3954,261,139,,4216,1997,56,151,,01,13129,6664,13084,6664,1758,10657,6420,0.507578643,0.509324366,-0.174572294,01,0.12785114,0.008722741,0.266211604,0.024490945
LAWRENCE,AL,01390,01079,19460,"Decatur, AL",01079,609,1716,629,,,42,241,336,,,1078,2279,321,,,833,1158,133,,,01,5090,2962,5078,2954,619,3678,2124,0.581925344,0.581725089,0.020025519,01,0.212931618,0.062617702,0.542810985,0.087275693
LEE,AL,01400,01081,12220,"Auburn-Opelika, AL",01081,3279,5967,1070,389,,2443,3324,874,348,,6315,6128,122,1071,,6497,4052,111,1200,,01,22565,10705,22565,10705,6989,13636,11860,0.474407268,0.474407268,0,01,0.099953293,0.009359191,0.125053656,0.008946905
LIMESTONE,AL,01410,01083,26620,"Huntsville, AL",01083,2393,2849,,519,,592,772,,496,,4593,3104,,1694,,3259,1761,,1853,,01,12634,5761,12634,5761,1860,9391,6873,0.455991768,0.455991768,0,01,0,0,0,0
LOWNDES,AL,01420,01085,33860,"Montgomery, AL",01085,,,1680,,,,,1729,,,,,13,,,,,69,,,01,1749,1680,1749,1680,1729,13,69,0.960548885,0.960548885,0,01,1,1,1,1
MACON,AL,01430,01087,,,01087,,,2310,,,,,2315,,,,,25,,,,,51,,,01,2361,2310,2361,2310,2315,25,51,0.978398983,0.978398983,0,01,1,1,1,1
MADISON,AL,01440,01089,26620,"Huntsville, AL",01089,6926,3272,6666,3437,87,4370,1997,5419,3387,83,12362,3190,807,11897,1510,12183,2642,926,13711,1633,01,51483,20388,51483,20388,15256,29766,31095,0.396014218,0.396014218,0,01,0.326957034,0.029779707,0.35520451,0.027111469
MARENGO,AL,01450,01091,,,01091,,1821,1039,,,,1352,1096,,,,1471,17,,,,1129,86,,,01,4075,2860,4075,2860,2448,1488,1215,0.701840491,0.701840491,0,01,0.363286713,0.070781893,0.447712418,0.011424731
MARION,AL,01460,01093,,,01093,571,1922,207,,,47,134,1,,,1198,2795,238,,,720,1132,38,,,01,4594,2700,4590,2700,182,4231,1890,0.587723117,0.588235294,-0.051217701,01,0.076666667,0.02010582,0.005494505,0.056251477
MARSHALL,AL,01470,01095,,,01095,1817,6024,2017,,,134,159,24,,,4145,7099,1705,,,2702,3820,474,,,01,16854,9858,16854,9858,317,12949,6996,0.58490566,0.58490566,0,01,0.204605397,0.067753002,0.075709779,0.131670399
MOBILE,AL,01480,01097,33660,"Mobile, AL",01097,2461,19037,23031,,0,1202,9413,18960,,335,4327,18573,5454,,0,3336,10933,2878,,338,01,62649,45030,62014,44529,29910,28354,17485,0.718766461,0.718047538,0.07189231,01,0.517213501,0.164598227,0.633901705,0.192353813
MONROE,AL,01490,01099,,,01099,,1089,1624,,,,341,1351,,,,1336,328,,,,665,350,,,01,3728,2713,3728,2713,1692,1664,1015,0.727736052,0.727736052,0,01,0.598599337,0.344827586,0.798463357,0.197115385
MONTGOMERY,AL,01500,01101,33860,"Montgomery, AL",01101,1008,2098,18808,468,,1634,2185,19467,891,,772,929,937,1386,,1838,1317,3015,2404,,01,31359,22599,30956,22382,24177,4024,8574,0.720654358,0.723026231,-0.237187318,01,0.840318113,0.351644507,0.805186748,0.232852883
MORGAN,AL,01510,01103,19460,"Decatur, AL",01103,2931,4589,2234,371,,603,1564,832,91,,5930,5099,697,1678,,4110,3257,319,1446,,01,19294,10153,19257,10125,3090,13404,9132,0.52622577,0.525782832,0.044293745,01,0.220641975,0.034932107,0.269255663,0.051999403
PERRY,AL,01520,01105,,,01105,,,1589,,,,,1725,,,,,10,,,,,150,,,01,1739,1589,1739,1589,1725,10,150,0.913743531,0.913743531,0,01,1,1,1,1
PICKENS,AL,01530,01107,,,01107,,687,1449,,,,340,1296,,,,754,275,,,,464,133,,,01,2733,2136,2733,2136,1636,1029,597,0.781558727,0.781558727,0,01,0.678370787,0.22278057,0.792176039,0.267249757
PIKE,AL,01540,01109,,,01109,,2286,807,,,,1782,572,,,,1523,263,,,,1215,102,,,01,4410,3093,4410,3093,2354,1786,1317,0.701360544,0.701360544,0,01,0.260911736,0.077448747,0.242990654,0.147256439
RANDOLPH,AL,01550,01111,,,01111,,2003,504,,,,842,101,,,,2169,488,,,,1137,142,,,01,3786,2507,3786,2507,943,2657,1279,0.66217644,0.66217644,0,01,0.201037096,0.111024238,0.107104984,0.183665788
RUSSELL,AL,01560,01113,17980,"Columbus, GA-AL",01113,,4013,2793,,,,3210,1865,,,,2336,1166,,,,2029,488,,,01,9323,6806,9323,6806,5075,3502,2517,0.730022525,0.730022525,0,01,0.4103732,0.193881605,0.367487685,0.332952599
ST. CLAIR,AL,01570,01115,13820,"Birmingham-Hoover, AL",01115,2504,4011,157,,,561,704,0,,,5410,5392,153,,,3742,2462,49,,,01,12980,6701,12925,6672,1265,10955,6253,0.516255778,0.516208897,0.004688063,01,0.023531175,0.007836239,0,0.013966225
SHELBY,AL,01580,01117,13820,"Birmingham-Hoover, AL",01117,4447,2741,423,2904,20,1943,1097,318,1977,27,7198,3008,147,12709,471,6816,1776,58,13352,552,01,33155,10552,33089,10535,5362,23533,22554,0.318262705,0.318383753,-0.012104743,01,0.040151875,0.002571606,0.059306229,0.006246547
SUMTER,AL,01590,01119,,,01119,,,1820,,,,,1858,,,,,6,,,,,59,,,01,1879,1820,1879,1820,1858,6,59,0.968600319,0.968600319,0,01,1,1,1,1
TALLADEGA,AL,01600,01121,,,01121,,4809,4116,,,,2111,2693,,,,5072,1939,,,,2629,722,,,01,12276,8925,12276,8925,4804,7011,3351,0.727028348,0.727028348,0,01,0.461176471,0.215458072,0.560574521,0.276565397
TALLAPOOSA,AL,01610,01123,,,01123,442,2596,606,,,392,1351,386,,,583,2767,389,,,553,1768,188,,,01,6153,3644,6153,3644,2129,3739,2509,0.592231432,0.592231432,0,01,0.166300768,0.074930251,0.181305777,0.104038513
TUSCALOOSA,AL,01620,01125,46220,"Tuscaloosa, AL",01125,5049,5024,5687,331,,3621,2814,5576,230,,7475,4692,599,1256,,6538,3028,887,1242,,01,27905,16154,27786,16091,12241,14022,11695,0.578892672,0.579104585,-0.021191348,01,0.353427382,0.075844378,0.45551834,0.042718585
WALKER,AL,01630,01127,13820,"Birmingham-Hoover, AL",01127,998,4411,800,,,401,318,271,,,1933,6893,668,,,1492,2976,193,,,01,10876,6212,10870,6209,990,9494,4661,0.57116587,0.571205152,-0.003928199,01,0.128845225,0.041407423,0.273737374,0.070360228
WASHINGTON,AL,01640,01129,,,01129,276,1140,548,,,110,448,342,,,473,1419,61,,,316,871,56,,,01,3207,1964,3207,1964,900,1953,1243,0.612410352,0.612410352,0,01,0.279022403,0.045052293,0.38,0.031233999
WILCOX,AL,01650,01131,,,01131,,,1831,,,,,1890,,,,,10,,,,,70,,,01,1901,1831,1901,1831,1890,10,70,0.963177275,0.963177275,0,01,1,1,1,1
WINSTON,AL,01660,01133,,,01133,321,2344,,,,9,20,,,,607,3516,,,,327,1345,,,,01,4337,2665,4337,2665,29,4123,1672,0.614480055,0.614480055,0,01,0,0,0,0
STATEWIDE,AL,01999,01990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALEUTIANS EAST,AK,02013,02013,,,02013,,146,,,0,,0,,,0,,24,,,8,,75,,,33,02,257,146,254,146,0,32,108,0.568093385,0.57480315,-0.670976439,02,0,0,0,0
ALEUTIANS WEST,AK,02016,02016,,,02016,,,,77,0,,,,1,0,,,,123,3,,,,339,133,02,549,77,549,77,1,126,472,0.140255009,0.140255009,0,02,0,0,0,0
ANCHORAGE,AK,02020,02020,11260,"Anchorage, AK",02020,4406,6190,5474,1834,124,666,1019,660,324,60,5829,3154,792,7072,2166,7729,4618,621,8802,2763,02,49070,19944,42561,18028,2729,19013,24533,0.40643978,0.423580273,-1.714049311,02,0.303638784,0.025312844,0.24184683,0.041655709
BETHEL,AK,02050,02050,,,02050,278,918,2618,,0,4,5,0,,0,81,94,16,,0,324,466,267,,18,02,4963,3872,4889,3814,9,191,1075,0.780173282,0.780118634,0.005464862,02,0.686418458,0.248372093,0,0.083769634
BRISTOL BAY BOROUGH,AK,02060,02060,,,02060,66,,,,,0,,,,,53,,,,,85,,,,,02,163,66,151,66,0,53,85,0.404907975,0.437086093,-3.217811726,02,0,0,0,0
DENALI,AK,02068,02068,,,02068,,,,,0,,,,,0,,,,,225,,,,,234,02,859,0,234,0,0,225,234,0,0,0,02,0,0,0,0
DILLINGHAM,AK,02070,02070,,,02070,116,165,464,,,0,0,0,,,32,34,10,,,142,142,84,,,02,1121,745,1113,745,0,76,368,0.664585192,0.669362084,-0.477689266,02,0.622818792,0.22826087,0,0.131578947
FAIRBANKS NORTH STAR,AK,02090,02090,21820,"Fairbanks, AK",02090,3129,1590,114,328,0,485,264,7,28,7,5774,1289,28,1051,265,5867,1100,31,1083,349,02,19130,5294,13591,5161,791,8407,8430,0.276738108,0.37973659,-10.29984827,02,0.022088742,0.003677343,0.008849558,0.003330558
HAINES,AK,02100,02100,,,02100,123,,,,,0,,,,,212,,,,,141,,,,,02,273,123,264,123,0,212,141,0.450549451,0.465909091,-1.535964036,02,0,0,0,0
HOONAH-ANGOON CENSUS AREA,AK,02105,02105,,,02105,,54,97,,0,,1,2,,0,,15,6,,66,,19,22,,93,02,287,151,285,151,3,87,134,0.526132404,0.529824561,-0.369215722,02,0.642384106,0.164179104,0.666666667,0.068965517
JUNEAU,AK,02110,02110,,,02110,775,,,561,,35,,,38,,990,,,1549,,1387,,,2142,,02,5066,1445,4865,1336,73,2539,3529,0.285234899,0.274614594,1.062030529,02,0,0,0,0
KENAI PENINSULA,AK,02122,02122,,,02122,1837,1041,151,58,0,23,6,0,2,2,3798,1318,67,193,666,3157,791,39,196,762,02,9014,3155,8032,3087,33,6042,4945,0.350011094,0.384337649,-3.432655555,02,0.048914804,0.007886754,0,0.011089043
KETCHIKAN GATEWAY,AK,02130,02130,,,02130,632,252,,,,15,3,,,,863,173,,,,998,182,,,,02,2247,956,2064,884,18,1036,1180,0.425456164,0.428294574,-0.283840987,02,0,0,0,0
KODIAK ISLAND BOROUGH,AK,02150,02150,,,02150,420,632,65,61,,7,5,0,2,,382,325,3,198,,567,460,15,216,,02,2548,1178,2436,1178,14,908,1258,0.462323391,0.483579639,-2.125624786,02,0.055178268,0.011923688,0,0.003303965
LAKE AND PENINSULA,AK,02164,02164,,,02164,28,40,212,,,6,0,0,,,25,11,12,,,31,26,37,,,02,374,280,374,280,6,48,94,0.748663102,0.748663102,0,02,0.757142857,0.393617021,0,0.25
MATANUSKA-SUSITNA,AK,02170,02170,11260,"Anchorage, AK",02170,3571,1509,,317,0,240,49,,35,26,6887,1918,,1147,963,5931,1160,,1203,1247,02,17447,5802,14938,5397,350,10915,9541,0.332550009,0.361293346,-2.874333723,02,0,0,0,0
NOME,AK,02180,02180,,,02180,84,580,1284,,0,0,0,0,,2,8,52,39,,10,91,270,188,,45,02,2559,1948,2542,1948,2,109,594,0.761234857,0.766325728,-0.509087041,02,0.659137577,0.316498316,0,0.357798165
NORTH SLOPE BOROUH,AK,02185,02185,,,02185,236,128,,219,,0,0,,10,,14,0,,50,,333,111,,876,,02,1939,601,1903,583,10,64,1320,0.309953584,0.306358382,0.359520282,02,0,0,0,0
NORTHWEST ARTIC BOROUGH,AK,02188,02188,,,02188,343,26,1055,,,3,0,0,,,52,0,13,,,363,19,195,,,02,2001,1424,2001,1424,3,65,577,0.711644178,0.711644178,0,02,0.740870787,0.337954939,0,0.2
PETERSBURG CENSUS AREA,AK,02195,02195,,,02195,92,212,10,,,5,6,0,,,139,174,10,,,111,151,3,,,02,579,314,579,314,11,323,265,0.542314335,0.542314335,0,02,0.031847134,0.011320755,0,0.030959752
PR.OF WALES-HYDER CNS AREA,AK,02198,02198,,,02198,6,412,309,,,0,2,1,,,9,165,185,,,6,165,72,,,02,1293,727,970,727,3,359,243,0.562258314,0.749484536,-18.72262221,02,0.425034388,0.296296296,0.333333333,0.515320334
SITKA BOROUGH,AK,02220,02220,,,02220,467,259,,,,7,4,,,,655,30,,,,783,139,,,,02,1719,755,1648,726,11,685,922,0.439208842,0.440533981,-0.132513823,02,0,0,0,0
SKAGWAY-YAKUTAT,AK,02230,02230,,,02230,,,,,3,,,,,0,,,,,83,,,,,89,02,92,3,92,3,0,83,89,0.032608696,0.032608696,0,02,0,0,0,0
SOUTHEAST FAIRBANKS,AK,02240,02240,,,02240,303,15,209,,0,17,2,1,,0,606,2,94,,21,430,6,50,,21,02,1186,534,1034,527,20,723,507,0.450252951,0.50967118,-5.941822879,02,0.39658444,0.098619329,0.05,0.130013831
VALDEZ-CORDOVA,AK,02261,02261,,,02261,359,97,29,,0,0,0,0,,1,576,100,2,,183,574,82,3,,357,02,1558,485,1501,485,1,861,1016,0.311296534,0.323117921,-1.182138737,02,0.059793814,0.002952756,0,0.00232288
WADE HAMPTON,AK,02270,02270,,,02270,,,2096,,,,,0,,,,,14,,,,,390,,,02,2486,2096,2486,2096,0,14,390,0.84312148,0.84312148,0,02,1,1,0,1
WRANGELL CITY AND BOROUGH,AK,02275,02275,,,02275,49,112,,,0,1,1,,,4,51,101,,,65,53,91,,,88,02,393,161,393,161,6,217,232,0.409669211,0.409669211,0,02,0,0,0,0
YAKUTAT BOROUGH,AK,02282,02282,,,02282,,,72,,,,,0,,,,,13,,,,,15,,,02,93,72,87,72,0,13,15,0.774193548,0.827586207,-5.339265851,02,1,1,0,1
YUKON-KOYUKUK,AK,02290,02290,,,02290,133,182,413,,0,1,2,2,,0,86,28,6,,12,198,131,76,,225,02,2217,728,1358,728,5,132,630,0.328371673,0.536082474,-20.77108008,02,0.567307692,0.120634921,0.4,0.045454545
STATEWIDE,AK,02999,02990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APACHE,AZ,03000,04001,,,04001,183,253,7958,,,0,0,6,,,58,0,161,,,349,123,419,,,04,9287,8394,9285,8394,6,219,891,0.903844083,0.904038772,-0.019468909,04,0.948058137,0.470258137,1,0.735159817
COCHISE,AZ,03010,04003,,,04003,3385,2740,5045,87,,633,157,32,64,,5024,1827,558,235,,5602,1646,1117,336,,04,19962,11257,19958,11257,886,7644,8701,0.563921451,0.564034472,-0.011302164,04,0.448165586,0.128376049,0.036117381,0.07299843
COCONINO,AZ,03020,04005,22380,"Flagstaff, AZ",04005,2386,3502,2641,418,0,68,43,22,17,0,2889,1755,193,1488,2,3778,2102,163,1579,3,04,16741,8974,16572,8947,150,6327,7625,0.53604922,0.539886556,-0.383733516,04,0.295182743,0.021377049,0.146666667,0.030504188
GILA,AZ,03030,04007,,,04007,27,3564,558,6,,0,27,1,0,,22,3188,237,11,,33,1888,136,19,,04,6288,4155,6231,4155,28,3458,2076,0.660782443,0.666827155,-0.60447118,04,0.134296029,0.065510597,0.035714286,0.068536726
GRAHAM,AZ,03040,04009,,,04009,1013,1989,,98,,17,38,,3,,1540,1623,,311,,1380,1241,,311,,04,6138,3122,6032,3100,58,3474,2932,0.508634734,0.513925729,-0.5290995,04,0,0,0,0
GREENLEE,AZ,03050,04011,,,04011,567,,,11,,14,,,1,,609,,,5,,1080,,,39,,04,1697,578,1697,578,15,614,1119,0.340601061,0.340601061,0,04,0,0,0,0
LAPAZ,AZ,03055,04012,,,04012,,462,1522,,,,3,10,,,,151,393,,,,211,232,,,04,2461,1994,2427,1984,13,544,443,0.81023974,0.817470128,-0.723038779,04,0.767137097,0.523702032,0.769230769,0.722426471
MARICOPA,AZ,03060,04013,38060,"Phoenix-Mesa-Glendale, AZ",04013,51564,92263,147250,18521,2186,9826,11639,13037,4975,2666,75402,50611,18654,73583,39655,86393,58947,17579,91842,55728,04,631407,315156,622273,311784,42143,257905,310489,0.499132889,0.50104054,-0.190765116,04,0.472282093,0.056617143,0.309351494,0.072328958
MOHAVE,AZ,03070,04015,29420,"Lake Havasu City-Kingman, AZ",04015,1966,8690,4440,65,7,63,156,64,0,8,3660,9939,2781,272,360,2702,5374,631,267,501,04,24645,15168,24643,15168,291,17012,9475,0.615459525,0.615509475,-0.004995005,04,0.292721519,0.066596306,0.219931271,0.163472843
NAVAJO,AZ,03080,04017,,,04017,1009,3913,8462,76,0,10,44,53,1,0,1696,4038,1075,289,1,1268,2647,705,323,1,04,18585,13533,18404,13460,108,7099,4944,0.728167877,0.731362747,-0.319486991,04,0.628677563,0.142597087,0.490740741,0.151429779
PIMA,AZ,03090,04019,46060,"Tucson, AZ",04019,10615,17164,22074,3617,1701,1355,1570,1126,835,751,14900,6859,3767,10803,9734,18652,9655,4425,17492,29639,04,136676,55914,135034,55171,5637,46063,79863,0.409098891,0.408571175,0.052771614,04,0.400101503,0.055407385,0.199751641,0.081779302
